Curso,Preço,Carga Horaria
Excel Analytics com Inteligência Artificial,999.0,72
Fundamentos de Data Science e Inteligência Artificial,0.0,24
Fundamentos de Engenharia de Dados,0.0,24
Fundamentos de Linguagem Python Para Análise de Dados e Data Science,0.0,72
Análise e Previsão de Séries Temporais com Inteligência Artificial,1449.0,72
Aplicações de Large Language Models (LLMs) na Área Médica,1870.0,90
Armazenamento e Gestão de Dados com Data Lake e Data Lakehouse,1530.0,86
Arquitetura de Plataforma de Dados e Modern Data Stack,1340.0,96
Automação Robótica de Processos (RPA) com Automation Anywhere,1230.0,88
Automação Robótica de Processos (RPA) com UiPath,1250.0,88
"Automação de Processos e Engenharia de Dados com Python, Excel e IA",1550.0,100
Automação de Workflows com Microsoft Power Automate,1400.0,84
Business Analytics e Machine Learning Para Projetos de Data Science,1590.0,144
Cloud Computing Data Science (com Amazon SageMaker e Microsoft Fabric),1390.0,84
Data Science Para Análise Multivariada de Dados,1399.0,80
Deep Learning Para Aplicações de Inteligência Artificial com Python e C++,1740.0,96
Desenvolvimento e Deploy de Modelos de Machine Learning,1680.0,100
Design e Administração de Cloud Computing AWS,1250.0,72
Engenharia Financeira com Inteligência Artificial,1800.0,96
"Engenharia de Dados com Airbyte, DBT e SQL",1540.0,96
Engenharia de Software Para Machine Learning,980.0,64
IA Generativa e LLMs Para Processamento de Linguagem Natural,2040.0,96
IA Generativa e LLMs Para a Área de Direito,2100.0,96
"Infraestrutura Como Código com Terraform, AWS, Azure e Databricks",1410.0,72
Inteligência Artificial Para Análise de Imagens Médicas,1600.0,96
Inteligência Artificial Para Segurança Cibernética,1449.0,84
Inteligência Artificial Para Visão Computacional,1540.0,96
LGPD - Governança de Dados e Gestão de Metadados,1540.0,84
MLOps e Ciclo de Vida de Modelos de Machine Learning,1600.0,100
Machine Learning Para Aplicações Biomédicas,1540.0,80
"Matemática e Estatística Aplicada Para Data Science, Machine Learning e IA",1199.0,84
Microsoft Power BI Para Business Intelligence e Data Science,0.0,72
Modelagem de Séries Temporais e Real-Time Analytics com Apache Spark e Databricks,1399.0,96
Modelagem e Análise de Dados com Power BI,1440.0,96
"Modelagem, Implementação e Governança de Data Warehouses",1300.0,80
Orquestração de Fluxos de Dados com Apache Airflow,1430.0,84
Pipelines de Análise e Engenharia de Dados com Google BigQuery,1500.0,86
Pipelines de CI/CD Para Operações de Machine Learning e IA,1870.0,100
Pipelines de ETL e Machine Learning com Apache Spark,1349.0,84
Power BI Avançado para Análise de Dados com DAX,1040.0,70
Projeto e Implementação de Plataforma de Dados com Snowflake,1840.0,96
Projetos de Análise de Dados com Linguagem Python,1420.0,82
Prompt Engineering com ChatGPT Para Análise de Dados e Data Science,1349.0,60
PySpark e Apache Kafka Para Processamento de Dados em Batch e Streaming,1400.0,90
R Fundamentos Para Análise de Dados,565.0,40
SQL Para Análise de Dados e Data Science,1400.0,96
"Storytelling, Dashboards e Técnicas de Apresentação Para Cientistas de Dados",890.0,72
